id,country_id,name,Founded,Confederation,Number_of_teams,Relegation_to,Current_champions,Most_championships,TV_partners,Domestic_cup,International_cup,Infomation_source,Status
1,1,Belgium Jupiler League,1895,UEFA,16,Belgian First Division B,Anderlecht (34th title) - (2016–17),Anderlecht (34 titles),<li>Telenet</li><li>VOO</li><li>Proximus TV</li><li>Vier\RTBF (Highlights)</li>,<li>Belgian Cup</li><li>Belgian Super Cup</li>,<li>UEFA Champions League</li><li>UEFA Europa League</li>,Wikipedia,Active
1729,1729,England Premier League,1992,UEFA,20,EFL Championship,Chelsea (5th title) - (2016–17),Manchester United (13 titles),<li>Sky Sports & BT Sport (live matches)</li><li>Sky Sports & BBC (highlights)</li>,<li>FA Cup</li><li>FA Community Shield</li>,<li>UEFA Champions League</li><li>UEFA Europa League</li>,Wikipedia,Active
4769,4769,France Ligue 1,1932 ,UEFA,20,Ligue 2,Monaco (8th title) - (2016–17),Saint-Étienne (10 titles),<li>beIN Sports</li><li>Canal +</li>,<li>Coupe de France</li><li>Trophée des champions</li>,<li>UEFA Champions League</li><li>UEFA Europa League</li>,Wikipedia,Active
7809,7809,Germany 1. Bundesliga,1963,UEFA,18,2. Bundesliga,Bayern Munich (26th title) - (2016–17),Bayern Munich (26 titles),<li>Sky Sport</li><li>ARD (Das Erste)</li>,<li>DFB-Pokal</li><li>DFL-Supercup</li>,<li>UEFA Champions League</li><li>UEFA Europa League</li>,Wikipedia,Active
10257,10257,Italy Serie A,1898,UEFA,20,Serie B,Juventus (33rd title) - (2016–17),Juventus (33rd title),<li>SKY Italia</li><li>Mediaset Premium</li>,<li>Coppa Italia</li><li>Supercoppa Italiana</li>,<li>UEFA Champions League</li><li>UEFA Europa League</li>,Wikipedia,Active
13274,13274,Netherlands Eredivisie,1956,UEFA,18,Eerste Divisie,Feyenoord (15th title) - (2016–17),Ajax (33 titles),<li>Fox Sports Eredivisie</li><li>NOS (Highlights)</li>,<li>KNVB Cup</li><li>Johan Cruyff Shield</li>,<li>UEFA Champions League</li><li>UEFA Europa League</li>,Wikipedia,Active
15722,15722,Poland Ekstraklasa,1926,UEFA,16,I liga,Legia Warsaw (12th title),<li>Górnik Zabrze((14 titles)</li><li>Wisła Kraków((14 titles)</li>,<li>nc+</li><li>Eurosport 2</li>,<li>Polish Cup</li><li>Polish SuperCup</li>,<li>UEFA Champions League</li><li>UEFA Europa League</li>,Wikipedia,Active
17642,17642,Portugal Liga ZON Sagres,1934,UEFA,18,LigaPro,Benfica (36th title) - (2016–17),Benfica (36 titles),<li>Benfica TV</li><li>RTP1</li>,<li>Taça de Portugal</li><li>Supertaça</li>,<li>UEFA Champions League</li><li>UEFA Europa League</li>,Wikipedia,Active
19694,19694,Scotland Premier League,1998,UEFA,12,,,Celtic (8),,,<li>UEFA Champions League</li><li>UEFA Europa League</li>,Wikipedia,Folded
21518,21518,Spain LIGA BBVA,1929,UEFA,20,Segunda División,Real Madrid (33rd title),Real Madrid (33rd title),<li>Movistar+</li><li>Vodafone TV</li><li>Orange TV</li><li>Telecable</li><li>DVB-T</li><li>Movistar+</li><li>Vodafone TV</li><li>Orange TV</li><li>Telecable</li>,<li>Copa del Rey</li><li>Supercopa de España</li>,<li>UEFA Champions League</li><li>UEFA Europa League</li>,Wikipedia,Active
24558,24558,Switzerland Super League,1897,UEFA,10,Challenge League,Basel (20th title) - (2016–17),Grasshopper (27 titles),Teleclub Sport,Swiss Cup,<li>UEFA Champions League</li><li>UEFA Europa League</li>,Wikipedia,Active
